id,source,url,title_raw,title_norm,org_name,location,description_clean,processed_at
1,sqlite_baseline,https://www.brightermonday.co.ke/listings/service-crew-fast-food-restaurant-in-qatar-9jd9qx,Service Crew: Fast Food Restaurant in Qatar,service crew: fast food restaurant in qatar,Unknown,Nairobi,"Service Crew: Fast Food Restaurant in Qatar


                            Plan Manpower Limited
                        



                            Trades & Services
                        



                            Outside Kenya
                        

                            Internship & Graduate
                        



                            Hospitality & Hotel
                        


                                KES
                            
                            Confidential
                        





 

                            Easy Apply
                        






                        New
                        




                        Featured
                        





                6 days ago
            



                        Job Summary
                    

                        If you are passionate about food and ready to work hard and think fast while keeping a smile on your face, we would love to hav",2026-01-25T17:08:33.355335
2,sqlite_baseline,https://www.brightermonday.co.ke/listings/aim-air-administrative-assistant-k8qge5,AIM AIR Administrative Assistant,aim air administrative assistant,Unknown,Nairobi,"AIM AIR Administrative Assistant


                            Africa Inland Mission - Africa Based Support
                        



                            Admin & Office
                        



                            Nairobi
                        

                            Full Time
                        



                            NGO, NPO & Charity
                        


                                KES
                            
                            Confidential
                        





 

                            Easy Apply
                        






                        New
                        




                        Featured
                        





                6 days ago
            



                        Job Summary
                    

                        The primary purpose for the existence of the organization is to facilitate the spread of the gospel of Jesus Christ. Candidates will soon",2026-01-25T17:08:33.503255
3,sqlite_baseline,https://www.brightermonday.co.ke/listings/wordpress-web-designer-wpp975,Wordpress Web Designer,wordpress web designer,Unknown,Nairobi,"Wordpress Web Designer


                            Clifford Technologies Ltd
                        



                            Creative & Design
                        



                            Nairobi
                        

                            Full Time
                        



                            IT & Telecoms
                        

                                                            KSh
                                                        
                                75,000 - 90,000
                            


                                Negotiable
                            





 

                            Easy Apply
                        






                        Featured
                        





                2 months ago
            



                        Job Summary
                    

                        A proficient WordPress Designer adept at creating visually engaging and user-friend",2026-01-25T17:08:33.623831
4,sqlite_baseline,https://www.brightermonday.co.ke/listings/field-sales-executive-4nmr25,FIELD SALES EXECUTIVE,sales representative,Unknown,Nairobi,"A




FIELD SALES EXECUTIVE

                                            AutoXpress
                                    


                            Sales
                        



                            Nairobi
                        

                            Full Time
                        



                            Automotive & Aviation
                        


                                KES
                            
                            Confidential
                        





 

                            Easy Apply
                        






                        New
                        





                Today
            



                        Job Summary
                    

                        This position is responsible for onboarding new customers, “farming” existing clients by selling other product categories which they do not currently purchase and maximizing profitability within their sales territory. The h",2026-01-25T17:08:33.676855
5,sqlite_baseline,https://www.brightermonday.co.ke/listings/nutrition-support-officer-food-systems-q2vwk7,"Nutrition Support Officer, Food Systems","nutrition support officer, food systems",Unknown,Nairobi,"U




Nutrition Support Officer, Food Systems

                                            UNOPS
                                    


                            Health & Safety
                        



                            Nairobi
                        

                            Contract
                        



                            NGO, NPO & Charity
                        


                                KES
                            
                            Confidential
                        





 

                            Easy Apply
                        






                        New
                        




                        Popular
                        





                Today
            



                        Job Summary
                    

                        Under the guidance of the Nutrition Specialist - Food Systems, the Nutrition Officer will provide professional support and effective teamwork t",2026-01-25T17:08:33.736032
6,sqlite_baseline,https://www.brightermonday.co.ke/listings/quality-and-safety-manager-kericho-7wmxme,Quality and Safety Manager (Kericho),quality and safety manager (kericho),Unknown,Nairobi,"Quality and Safety Manager (Kericho)


                            BrighterMonday Consulting
                        



                            Quality Control & Assurance
                        



                            Rest of Kenya
                        

                            Full Time
                        



                            Manufacturing & Warehousing
                        


                                KES
                            
                            Confidential
                        





 

                            Easy Apply
                        






                        New
                        





                Today
            



                        Job Summary
                    

                        A manufacturing company based in Kericho that manufactures for export is seeking for fill the position of Quality and Safety Manager. The successful candidate will be in charge of all day-to-",2026-01-25T17:08:33.827293
7,sqlite_baseline,https://www.brightermonday.co.ke/listings/assistant-operations-manager-6dmrmp,ASSISTANT OPERATIONS MANAGER,assistant operations manager,Unknown,Nairobi,"ASSISTANT OPERATIONS MANAGER


                            BrighterMonday Consulting
                        



                            Engineering & Technology
                        



                            Nairobi
                        

                            Full Time
                        



                            Real Estate
                        


                                KES
                            
                            Confidential
                        





 

                            Easy Apply
                        






                        New
                        





                Today
            



                        Job Summary
                    

                        Diploma in Civil Engineering, Building science in Real Estate or a related technical field
                    


Minimum Qualification
                                    :
Unspecified


Experience Level
                   ",2026-01-25T17:08:34.100290
8,sqlite_baseline,https://www.brightermonday.co.ke/listings/business-development-assistant-07z8zd,Business Development Assistant,business development assistant,Unknown,Nairobi,"Business Development Assistant


                            Tendersure Africa SEZ Ltd
                        



                            Supply Chain & Procurement
                        



                            Nairobi
                        

                            Full Time
                        



                            IT & Telecoms
                        

                                                            KSh
                                                        
                                75,000 - 90,000
                            






 

                            Easy Apply
                        






                        New
                        





                Today
            



                        Job Summary
                    

                        QED Solutions is a leading provider of innovative procurement software solutions designed to streamline and enhance the procurement process. We are see",2026-01-25T17:08:34.159378
9,sqlite_baseline,https://www.brightermonday.co.ke/listings/medical-sales-representative-ev7p7v,Medical sales representative,sales representative,Unknown,Nairobi,"Medical sales representative


                            Alpha Surgicals Supplies
                        



                            Sales
                        



                            Nairobi
                        

                            Full Time
                        



                            Healthcare
                        

                                                            KSh
                                                        
                                15,000 - 30,000
                            


                                Negotiable
                            





 

                            Easy Apply
                        






                        New
                        





                Today
            



                        Job Summary
                    

                        The ideal candidate will be responsible for driving sales growth by identifying new customers, managing e",2026-01-25T17:08:34.212705
10,sqlite_baseline,https://www.brightermonday.co.ke/listings/travel-consultant-20d8dj,Travel Consultant,travel consultant,Unknown,Nairobi,"Travel Consultant


                            Alisa Universe Travellers
                        



                            Consulting & Strategy
                        



                            Nairobi
                        

                            Full Time
                        



                            Tourism & Travel
                        


                                KES
                            
                            Confidential
                        





 

                            Easy Apply
                        






                        New
                        




                        Popular
                        





                Today
            



                        Job Summary
                    

                        Responsible for advising clients about suitable travel options in accordance with their needs and capabilities. In addition, they help clients to plan for their trips both ",2026-01-25T17:08:34.252496
